dato,sesong,mesterskap,konkurranse,sted,navn,kjønn,klasse,plassering,treff,bom,sammenlagt plassering,total poeng,total treff,tromscup poeng/treff
15.02.2015,2014/2015,KM,NOrmal,Bjerkvik,Tora Johanne Solvang,Kvinner,17-19,2.0,19.0,,2.,500,76,80/19
15.02.2015,2014/2015,KM,NOrmal,Bjerkvik,Julie Kloster Snekkevik,Kvinner,17-19,,,,3.,440,45,
15.02.2015,2014/2015,KM,NOrmal,Bjerkvik,Melanie Hauahei,Kvinner,17-19,,,,4.,390,49,
15.02.2015,2014/2015,KM,NOrmal,Bjerkvik,Marie Rasmussen,Kvinner,17-19,,,,5.,370,52,
15.02.2015,2014/2015,KM,NOrmal,Bjerkvik,Sabrina Rao Pedersen,Kvinner,17-19,,,,6.,285,24,
15.02.2015,2014/2015,KM,NOrmal,Bjerkvik,Synnøve Myhr,Kvinner,17-19,,,,7.,225,26,
15.02.2015,2014/2015,KM,NOrmal,Bjerkvik,Frida Sørmo,Kvinner,17-19,1.0,13.0,,8.,150,18,100/13
15.02.2015,2014/2015,KM,NOrmal,Bjerkvik,Malin Steffensen,Kvinner,17-19,,,,9.,50,6,
08.03.2015,2014/2015,tromscup,Normal,Målselv,Marie Henriksen Langseth,Kvinner,17-19,1.0,12.0,8.0,1.,600,63,100/12
08.03.2015,2014/2015,tromscup,Normal,Målselv,Tora Johanne Solvang,Kvinner,17-19,2.0,16.0,4.0,2.,500,76,80/16
08.03.2015,2014/2015,tromscup,Normal,Målselv,Julie Kloster Snekkevik,Kvinner,17-19,,,,3.,440,45,
08.03.2015,2014/2015,tromscup,Normal,Målselv,Melanie Hauahei,Kvinner,17-19,4.0,9.0,11.0,4.,390,49,50/9
08.03.2015,2014/2015,tromscup,Normal,Målselv,Marie Rasmussen,Kvinner,17-19,,,,5.,370,52,
08.03.2015,2014/2015,tromscup,Normal,Målselv,Sabrina Rao Pedersen,Kvinner,17-19,3.0,12.0,8.0,6.,285,24,60/12
08.03.2015,2014/2015,tromscup,Normal,Målselv,Synnøve Myhr,Kvinner,17-19,5.0,11.0,9.0,7.,225,26,45/11
08.03.2015,2014/2015,tromscup,Normal,Målselv,Frida Sørmo,Kvinner,17-19,,,,8.,150,18,
08.03.2015,2014/2015,tromscup,Normal,Målselv,Malin Steffensen,Kvinner,17-19,,,,9.,50,6,
14.03.2015,2014/2015,tromscup,Sprint,Skjervøy,Marie Henriksen Langseth,Kvinner,17-19,1.0,6.0,4.0,1.,600,63,100/6
14.03.2015,2014/2015,tromscup,Sprint,Skjervøy,Tora Johanne Solvang,Kvinner,17-19,7.0,8.0,2.0,2.,500,76,36/8
14.03.2015,2014/2015,tromscup,Sprint,Skjervøy,Julie Kloster Snekkevik,Kvinner,17-19,3.0,7.0,3.0,3.,440,45,60/7
14.03.2015,2014/2015,tromscup,Sprint,Skjervøy,Melanie Hauahei,Kvinner,17-19,2.0,7.0,3.0,4.,390,49,80/7
14.03.2015,2014/2015,tromscup,Sprint,Skjervøy,Marie Rasmussen,Kvinner,17-19,6.0,8.0,2.0,5.,370,52,40/8
14.03.2015,2014/2015,tromscup,Sprint,Skjervøy,Sabrina Rao Pedersen,Kvinner,17-19,5.0,5.0,5.0,6.,285,24,45/5
14.03.2015,2014/2015,tromscup,Sprint,Skjervøy,Synnøve Myhr,Kvinner,17-19,,,,7.,225,26,
14.03.2015,2014/2015,tromscup,Sprint,Skjervøy,Frida Sørmo,Kvinner,17-19,4.0,5.0,5.0,8.,150,18,50/5
14.03.2015,2014/2015,tromscup,Sprint,Skjervøy,Malin Steffensen,Kvinner,17-19,,,,9.,50,6,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Runa Simonsen Blix,Kvinner,20-21,1.0,9.0,1.0,1.,700,74,100/9
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Line Birgitte Solvang,Kvinner,20-21,,,,2.,260,24,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Runa Simonsen Blix,Kvinner,20-21,,,,1.,700,74,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Line Birgitte Solvang,Kvinner,20-21,,,,2.,260,24,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Runa Simonsen Blix,Kvinner,20-21,,,,1.,700,74,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Line Birgitte Solvang,Kvinner,20-21,,,,2.,260,24,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Runa Simonsen Blix,Kvinner,20-21,1.0,8.0,2.0,1.,700,74,100/8
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Line Birgitte Solvang,Kvinner,20-21,,,,2.,260,24,
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Runa Simonsen Blix,Kvinner,20-21,1.0,7.0,3.0,1.,700,74,100/7
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Line Birgitte Solvang,Kvinner,20-21,,,,2.,260,24,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Runa Simonsen Blix,Kvinner,20-21,,,,1.,700,74,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Line Birgitte Solvang,Kvinner,20-21,,,,2.,260,24,
17.01.2015,2014/2015,tromscup,Sprint,Tromsø,Runa Simonsen Blix,Kvinner,20-21,1.0,7.0,3.0,1.,700,74,100/7
17.01.2015,2014/2015,tromscup,Sprint,Tromsø,Line Birgitte Solvang,Kvinner,20-21,2.0,5.0,5.0,2.,260,24,80/5
18.01.2015,2014/2015,tromscup,Fellesstart,Tromsø,Runa Simonsen Blix,Kvinner,20-21,1.0,15.0,5.0,1.,700,74,100/15
18.01.2015,2014/2015,tromscup,Fellesstart,Tromsø,Line Birgitte Solvang,Kvinner,20-21,,,,2.,260,24,
08.02.2015,2014/2015,tromscup,Sprint,Indre Balsfjord,Runa Simonsen Blix,Kvinner,20-21,,,,1.,700,74,
08.02.2015,2014/2015,tromscup,Sprint,Indre Balsfjord,Line Birgitte Solvang,Kvinner,20-21,1.0,5.0,5.0,2.,260,24,100/5
15.02.2015,2014/2015,KM,NOrmal,Bjerkvik,Runa Simonsen Blix,Kvinner,20-21,1.0,15.0,,1.,700,74,100/15
15.02.2015,2014/2015,KM,NOrmal,Bjerkvik,Line Birgitte Solvang,Kvinner,20-21,2.0,14.0,,2.,260,24,80/14
08.03.2015,2014/2015,tromscup,Normal,Målselv,Runa Simonsen Blix,Kvinner,20-21,1.0,13.0,7.0,1.,700,74,100/13
08.03.2015,2014/2015,tromscup,Normal,Målselv,Line Birgitte Solvang,Kvinner,20-21,,,,2.,260,24,
14.03.2015,2014/2015,tromscup,Sprint,Skjervøy,Runa Simonsen Blix,Kvinner,20-21,1.0,7.0,3.0,1.,700,74,100/7
14.03.2015,2014/2015,tromscup,Sprint,Skjervøy,Line Birgitte Solvang,Kvinner,20-21,,,,2.,260,24,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Lise Danielsen Holmer,Kvinner,Senior,,,,1.,200,19,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Lene Carina Olsen,Kvinner,Senior,,,,2.,80,12,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Lise Danielsen Holmer,Kvinner,Senior,,,,1.,200,19,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Lene Carina Olsen,Kvinner,Senior,,,,2.,80,12,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Lise Danielsen Holmer,Kvinner,Senior,1.0,6.0,,1.,200,19,100/6
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Lene Carina Olsen,Kvinner,Senior,,,,2.,80,12,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Lise Danielsen Holmer,Kvinner,Senior,,,,1.,200,19,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Lene Carina Olsen,Kvinner,Senior,,,,2.,80,12,
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Lise Danielsen Holmer,Kvinner,Senior,,,,1.,200,19,
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Lene Carina Olsen,Kvinner,Senior,,,,2.,80,12,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Lise Danielsen Holmer,Kvinner,Senior,,,,1.,200,19,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Lene Carina Olsen,Kvinner,Senior,,,,2.,80,12,
17.01.2015,2014/2015,tromscup,Sprint,Tromsø,Lise Danielsen Holmer,Kvinner,Senior,,,,1.,200,19,
17.01.2015,2014/2015,tromscup,Sprint,Tromsø,Lene Carina Olsen,Kvinner,Senior,,,,2.,80,12,
18.01.2015,2014/2015,tromscup,Fellesstart,Tromsø,Lise Danielsen Holmer,Kvinner,Senior,,,,1.,200,19,
18.01.2015,2014/2015,tromscup,Fellesstart,Tromsø,Lene Carina Olsen,Kvinner,Senior,,,,2.,80,12,
08.02.2015,2014/2015,tromscup,Sprint,Indre Balsfjord,Lise Danielsen Holmer,Kvinner,Senior,,,,1.,200,19,
08.02.2015,2014/2015,tromscup,Sprint,Indre Balsfjord,Lene Carina Olsen,Kvinner,Senior,,,,2.,80,12,
15.02.2015,2014/2015,KM,NOrmal,Bjerkvik,Lise Danielsen Holmer,Kvinner,Senior,1.0,13.0,,1.,200,19,100/13
15.02.2015,2014/2015,KM,NOrmal,Bjerkvik,Lene Carina Olsen,Kvinner,Senior,2.0,12.0,,2.,80,12,80/12
08.03.2015,2014/2015,tromscup,Normal,Målselv,Lise Danielsen Holmer,Kvinner,Senior,,,,1.,200,19,
08.03.2015,2014/2015,tromscup,Normal,Målselv,Lene Carina Olsen,Kvinner,Senior,,,,2.,80,12,
14.03.2015,2014/2015,tromscup,Sprint,Skjervøy,Lise Danielsen Holmer,Kvinner,Senior,,,,1.,200,19,
14.03.2015,2014/2015,tromscup,Sprint,Skjervøy,Lene Carina Olsen,Kvinner,Senior,,,,2.,80,12,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Morten Hol,Gutter,13-14,4.0,5.0,5.0,1.,680,49,50/5
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Sigurd Alterskjær Eriksen,Gutter,13-14,2.0,6.0,4.0,2.,620,49,80/6
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Trym Silsand Gerhardsen,Gutter,13-14,1.0,6.0,4.0,3.,570,47,100/6
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Lars Nordmo Lundamo,Gutter,13-14,3.0,5.0,5.0,4.,460,36,60/5
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Jørgen Brones Stenersen,Gutter,13-14,5.0,6.0,4.0,5.,321,38,45/6
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Emil Sjøberg,Gutter,13-14,6.0,4.0,6.0,6.,282,29,40/4
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Tormod Strøm,Gutter,13-14,8.0,5.0,5.0,7.,250,30,32/5
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Erlend Hauan,Gutter,13-14,7.0,8.0,2.0,8.,228,29,36/8
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Jakob Fuglem,Gutter,13-14,,,,9.,227,14,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Vetle Lynum,Gutter,13-14,,,,10.,214,27,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Harald Hauge,Gutter,13-14,,,,11.,206,15,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Sindre Birkeland,Gutter,13-14,,,,12.,175,18,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Brage Bjørnstad,Gutter,13-14,,,,13.,170,17,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,sigurd Bjørn,Gutter,13-14,,,,14.,137,15,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Lars gaute Steien,Gutter,13-14,,,,15.,133,9,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Tom Harald Sandstrand,Gutter,13-14,,,,16.,130,29,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Erik Mathisen,Gutter,13-14,,,,17.,123,17,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Vebjørn Kvello Fjeldstad,Gutter,13-14,,,,18.,72,9,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Magnus Carho,Gutter,13-14,,,,19.,56,6,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Trym Pettersen,Gutter,13-14,,,,20.,55,4,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Sander L Bekkvik,Gutter,13-14,,,,21.,49,6,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Sindre Einan,Gutter,13-14,,,,22.,44,1,
07.12.2014,2014/2015,tromscup,Sprint,Målselv,Mikal Finstad,Gutter,13-14,,,,23.,16,5,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Morten Hol,Gutter,13-14,1.0,7.0,3.0,1.,680,49,100/7
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Sigurd Alterskjær Eriksen,Gutter,13-14,6.0,5.0,5.0,2.,620,49,40/5
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Trym Silsand Gerhardsen,Gutter,13-14,3.0,6.0,4.0,3.,570,47,60/6
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Lars Nordmo Lundamo,Gutter,13-14,,,,4.,460,36,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Jørgen Brones Stenersen,Gutter,13-14,4.0,7.0,3.0,5.,321,38,50/7
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Emil Sjøberg,Gutter,13-14,8.0,3.0,7.0,6.,282,29,32/3
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Tormod Strøm,Gutter,13-14,,,,7.,250,30,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Erlend Hauan,Gutter,13-14,7.0,5.0,5.0,8.,228,29,36/5
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Jakob Fuglem,Gutter,13-14,,,,9.,227,14,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Vetle Lynum,Gutter,13-14,,,,10.,214,27,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Harald Hauge,Gutter,13-14,9.0,2.0,8.0,11.,206,15,29/2
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Sindre Birkeland,Gutter,13-14,5.0,5.0,5.0,12.,175,18,45/5
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Brage Bjørnstad,Gutter,13-14,2.0,7.0,3.0,13.,170,17,80/7
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,sigurd Bjørn,Gutter,13-14,10.0,3.0,7.0,14.,137,15,26/3
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Lars gaute Steien,Gutter,13-14,,,,15.,133,9,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Tom Harald Sandstrand,Gutter,13-14,,,,16.,130,29,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Erik Mathisen,Gutter,13-14,,,,17.,123,17,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Vebjørn Kvello Fjeldstad,Gutter,13-14,,,,18.,72,9,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Magnus Carho,Gutter,13-14,,,,19.,56,6,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Trym Pettersen,Gutter,13-14,,,,20.,55,4,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Sander L Bekkvik,Gutter,13-14,11.0,2.0,8.0,21.,49,6,24/2
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Sindre Einan,Gutter,13-14,,,,22.,44,1,
13.12.2014,2014/2015,tromscup,Normal,Nordreisa,Mikal Finstad,Gutter,13-14,,,,23.,16,5,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Morten Hol,Gutter,13-14,1.0,5.0,5.0,1.,680,49,100/5
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Sigurd Alterskjær Eriksen,Gutter,13-14,,,,2.,620,49,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Trym Silsand Gerhardsen,Gutter,13-14,,,,3.,570,47,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Lars Nordmo Lundamo,Gutter,13-14,2.0,2.0,8.0,4.,460,36,80/2
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Jørgen Brones Stenersen,Gutter,13-14,4.0,3.0,7.0,5.,321,38,50/3
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Emil Sjøberg,Gutter,13-14,,,,6.,282,29,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Tormod Strøm,Gutter,13-14,5.0,2.0,8.0,7.,250,30,45/2
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Erlend Hauan,Gutter,13-14,,,,8.,228,29,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Jakob Fuglem,Gutter,13-14,3.0,3.0,7.0,9.,227,14,60/3
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Vetle Lynum,Gutter,13-14,8.0,2.0,8.0,10.,214,27,32/2
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Harald Hauge,Gutter,13-14,,,,11.,206,15,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Sindre Birkeland,Gutter,13-14,,,,12.,175,18,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Brage Bjørnstad,Gutter,13-14,,,,13.,170,17,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,sigurd Bjørn,Gutter,13-14,,,,14.,137,15,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Lars gaute Steien,Gutter,13-14,6.0,2.0,8.0,15.,133,9,40/2
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Tom Harald Sandstrand,Gutter,13-14,,,,16.,130,29,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Erik Mathisen,Gutter,13-14,,,,17.,123,17,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Vebjørn Kvello Fjeldstad,Gutter,13-14,,,,18.,72,9,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Magnus Carho,Gutter,13-14,7.0,2.0,8.0,19.,56,6,36/2
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Trym Pettersen,Gutter,13-14,,,,20.,55,4,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Sander L Bekkvik,Gutter,13-14,,,,21.,49,6,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Sindre Einan,Gutter,13-14,,,,22.,44,1,
28.12.2014,2014/2015,tromscup,Sprint,Bardu,Mikal Finstad,Gutter,13-14,,,,23.,16,5,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Morten Hol,Gutter,13-14,1.0,8.0,2.0,1.,680,49,100/8
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Sigurd Alterskjær Eriksen,Gutter,13-14,2.0,7.0,3.0,2.,620,49,80/7
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Trym Silsand Gerhardsen,Gutter,13-14,,,,3.,570,47,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Lars Nordmo Lundamo,Gutter,13-14,3.0,5.0,5.0,4.,460,36,60/5
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Jørgen Brones Stenersen,Gutter,13-14,,,,5.,321,38,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Emil Sjøberg,Gutter,13-14,5.0,6.0,4.0,6.,282,29,45/6
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Tormod Strøm,Gutter,13-14,4.0,6.0,4.0,7.,250,30,50/6
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Erlend Hauan,Gutter,13-14,6.0,4.0,6.0,8.,228,29,40/4
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Jakob Fuglem,Gutter,13-14,,,,9.,227,14,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Vetle Lynum,Gutter,13-14,7.0,7.0,3.0,10.,214,27,36/7
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Harald Hauge,Gutter,13-14,8.0,3.0,7.0,11.,206,15,32/3
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Sindre Birkeland,Gutter,13-14,,,,12.,175,18,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Brage Bjørnstad,Gutter,13-14,,,,13.,170,17,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,sigurd Bjørn,Gutter,13-14,9.0,3.0,7.0,14.,137,15,29/3
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Lars gaute Steien,Gutter,13-14,11.0,0.0,10.0,15.,133,9,24/0
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Tom Harald Sandstrand,Gutter,13-14,,,,16.,130,29,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Erik Mathisen,Gutter,13-14,,,,17.,123,17,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Vebjørn Kvello Fjeldstad,Gutter,13-14,10.0,2.0,8.0,18.,72,9,26/2
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Magnus Carho,Gutter,13-14,,,,19.,56,6,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Trym Pettersen,Gutter,13-14,,,,20.,55,4,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Sander L Bekkvik,Gutter,13-14,,,,21.,49,6,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Sindre Einan,Gutter,13-14,,,,22.,44,1,
04.01.2015,2014/2015,tromscup,Sprint,Laksvatn,Mikal Finstad,Gutter,13-14,,,,23.,16,5,
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Morten Hol,Gutter,13-14,3.0,5.0,5.0,1.,680,49,60/5
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Sigurd Alterskjær Eriksen,Gutter,13-14,1.0,8.0,2.0,2.,620,49,100/8
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Trym Silsand Gerhardsen,Gutter,13-14,2.0,8.0,2.0,3.,570,47,80/8
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Lars Nordmo Lundamo,Gutter,13-14,4.0,4.0,6.0,4.,460,36,50/4
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Jørgen Brones Stenersen,Gutter,13-14,,,,5.,321,38,
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Emil Sjøberg,Gutter,13-14,7.0,2.0,8.0,6.,282,29,36/2
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Tormod Strøm,Gutter,13-14,5.0,7.0,3.0,7.,250,30,45/7
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Erlend Hauan,Gutter,13-14,8.0,3.0,7.0,8.,228,29,32/3
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Jakob Fuglem,Gutter,13-14,6.0,2.0,8.0,9.,227,14,40/2
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Vetle Lynum,Gutter,13-14,,,,10.,214,27,
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Harald Hauge,Gutter,13-14,11.0,0.0,10.0,11.,206,15,24/0
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Sindre Birkeland,Gutter,13-14,,,,12.,175,18,
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Brage Bjørnstad,Gutter,13-14,,,,13.,170,17,
10.01.2015,2014/2015,tromscup,Sprint,Målselv,sigurd Bjørn,Gutter,13-14,12.0,2.0,8.0,14.,137,15,22/2
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Lars gaute Steien,Gutter,13-14,9.0,2.0,8.0,15.,133,9,29/2
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Tom Harald Sandstrand,Gutter,13-14,,,,16.,130,29,
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Erik Mathisen,Gutter,13-14,10.0,4.0,6.0,17.,123,17,26/4
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Vebjørn Kvello Fjeldstad,Gutter,13-14,14.0,3.0,7.0,18.,72,9,18/3
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Magnus Carho,Gutter,13-14,13.0,4.0,6.0,19.,56,6,20/4
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Trym Pettersen,Gutter,13-14,,,,20.,55,4,
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Sander L Bekkvik,Gutter,13-14,,,,21.,49,6,
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Sindre Einan,Gutter,13-14,,,,22.,44,1,
10.01.2015,2014/2015,tromscup,Sprint,Målselv,Mikal Finstad,Gutter,13-14,,,,23.,16,5,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Morten Hol,Gutter,13-14,1.0,5.0,5.0,1.,680,49,100/5
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Sigurd Alterskjær Eriksen,Gutter,13-14,3.0,5.0,5.0,2.,620,49,60/5
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Trym Silsand Gerhardsen,Gutter,13-14,4.0,2.0,8.0,3.,570,47,50/2
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Lars Nordmo Lundamo,Gutter,13-14,2.0,5.0,5.0,4.,460,36,80/5
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Jørgen Brones Stenersen,Gutter,13-14,,,,5.,321,38,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Emil Sjøberg,Gutter,13-14,,,,6.,282,29,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Tormod Strøm,Gutter,13-14,8.0,3.0,7.0,7.,250,30,32/3
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Erlend Hauan,Gutter,13-14,7.0,3.0,7.0,8.,228,29,36/3
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Jakob Fuglem,Gutter,13-14,5.0,2.0,8.0,9.,227,14,45/2
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Vetle Lynum,Gutter,13-14,,,,10.,214,27,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Harald Hauge,Gutter,13-14,9.0,2.0,8.0,11.,206,15,29/2
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Sindre Birkeland,Gutter,13-14,,,,12.,175,18,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Brage Bjørnstad,Gutter,13-14,,,,13.,170,17,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,sigurd Bjørn,Gutter,13-14,,,,14.,137,15,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Lars gaute Steien,Gutter,13-14,6.0,5.0,5.0,15.,133,9,40/5
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Tom Harald Sandstrand,Gutter,13-14,,,,16.,130,29,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Erik Mathisen,Gutter,13-14,,,,17.,123,17,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Vebjørn Kvello Fjeldstad,Gutter,13-14,,,,18.,72,9,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Magnus Carho,Gutter,13-14,,,,19.,56,6,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Trym Pettersen,Gutter,13-14,,,,20.,55,4,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Sander L Bekkvik,Gutter,13-14,,,,21.,49,6,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Sindre Einan,Gutter,13-14,,,,22.,44,1,
10.01.2015,2014/2015,tromscup,Fellesstart,Målselv,Mikal Finstad,Gutter,13-14,,,,23.,16,5,
