Number;Firstname;Surname;Birthday;Gender;Club;Nation;Type;Class;Starttime;Finish;RankValue;ExitStatus;Rank;RankPoints;Participated;ContestantId;Team;TotalPoints;TotalTime;TotalTimeFormatted;TotalDiffTimeFormatted;BonusSeconds;ClassId;DNB Cup 3/Junior Cup 1 normal-Points;DNB Cup 3/Junior Cup 1 normal-Time;DNB Cup 3/Junior Cup 1 normal-TimeFormatted;DNB Cup 3/Junior Cup 1 normal-DiffTimeFormatted;DNB Cup 3/Junior Cup 1 sprint-Points;DNB Cup 3/Junior Cup 1 sprint-Time;DNB Cup 3/Junior Cup 1 sprint-TimeFormatted;DNB Cup 3/Junior Cup 1 sprint-DiffTimeFormatted;NM JR DNB Cup 4/JR Cup 2-Points;NM JR DNB Cup 4/JR Cup 2-Time;NM JR DNB Cup 4/JR Cup 2-TimeFormatted;NM JR DNB Cup 4/JR Cup 2-DiffTimeFormatted;NSSF JR Cup 2 K18-19 liste-Points;NSSF JR Cup 2 K18-19 liste-Time;NSSF JR Cup 2 K18-19 liste-TimeFormatted;NSSF JR Cup 2 K18-19 liste-DiffTimeFormatted;NM JR DNB Cup 4/JR Cup 2-Points;NM JR DNB Cup 4/JR Cup 2-Time;NM JR DNB Cup 4/JR Cup 2-TimeFormatted;NM JR DNB Cup 4/JR Cup 2-DiffTimeFormatted;NM JR /JR Cup 2 K18-19-Points;NM JR /JR Cup 2 K18-19-Time;NM JR /JR Cup 2 K18-19-TimeFormatted;NM JR /JR Cup 2 K18-19-DiffTimeFormatted;DNB Cup 5 / Junior Cup 3 Sprint-Points;DNB Cup 5 / Junior Cup 3 Sprint-Time;DNB Cup 5 / Junior Cup 3 Sprint-TimeFormatted;DNB Cup 5 / Junior Cup 3 Sprint-DiffTimeFormatted;DNB Cup 5 / Junior Cup 3  Normal-Points;DNB Cup 5 / Junior Cup 3  Normal-Time;DNB Cup 5 / Junior Cup 3  Normal-TimeFormatted;DNB Cup 5 / Junior Cup 3  Normal-DiffTimeFormatted;NM Normal -Senior, NM Normal - Junior-Points;NM Normal -Senior, NM Normal - Junior-Time;NM Normal -Senior, NM Normal - Junior-TimeFormatted;NM Normal -Senior, NM Normal - Junior-DiffTimeFormatted;DNB Cup 6/Junior Cup 4, 10.03.2018-Points;DNB Cup 6/Junior Cup 4, 10.03.2018-Time;DNB Cup 6/Junior Cup 4, 10.03.2018-TimeFormatted;DNB Cup 6/Junior Cup 4, 10.03.2018-DiffTimeFormatted;Junior Cup 4 - Sprint M19-Points;Junior Cup 4 - Sprint M19-Time;Junior Cup 4 - Sprint M19-TimeFormatted;Junior Cup 4 - Sprint M19-DiffTimeFormatted;Junior Cup finale 5 - Fellesstart 17-19år-Points;Junior Cup finale 5 - Fellesstart 17-19år-Time;Junior Cup finale 5 - Fellesstart 17-19år-TimeFormatted;Junior Cup finale 5 - Fellesstart 17-19år-DiffTimeFormatted;Junior Cup finale 5 - Fellesstart 19-21år-Points;Junior Cup finale 5 - Fellesstart 19-21år-Time;Junior Cup finale 5 - Fellesstart 19-21år-TimeFormatted;Junior Cup finale 5 - Fellesstart 19-21år-DiffTimeFormatted
40;Brinje Marie;Haugli;0;f;Oslo Skiskytterlag;NO;Serie;K17;00:00:00.000;Mål;13.0;OK;40;0;7;4073398;;13.0;15159670;4:12:39.6;57:32.580;0;418641;NOR;0.0;3164610;52:44.6;13:34.8;0.0;1649300;27:29.3;6:45.2;0.0;2102400;35:02.4;8:27.1;;;;;0.0;1477600;24:37.6;5:08.3;;;;;12.0;1469300;24:29.3;3:20.6;0.0;2735060;45:35.0;10:27.5;1.0;2561400;42:41.4;7:41.7;0.0;1465300;24:25.3;5:28.2;;;;;;;;;;;;
41;Karen Moum;Agle;0;f;Snåsa Skiskytterlag;NO;Serie;K17;00:00:00.000;Mål;13.0;OK;41;0;6;723224;;13.0;11626920;3:13:46.9;Mangler 1;0;418641;NOR;;;;;;;;;4.0;1966100;32:46.1;6:10.8;;;;;0.0;1476600;24:36.6;5:07.3;;;;;7.0;1484700;24:44.7;3:36.0;0.0;2728370;45:28.3;10:20.8;2.0;2557000;42:37.0;7:37.3;0.0;1414150;23:34.1;4:37.0;;;;;;;;;;;;
42;Ane Uglem;Mobakken;0;m;Oslo Skiskytterlag;NO;Serie;K17;00:00:00.000;Mål;12.0;OK;42;0;1;641744;Wang Toppidrett;12.0;2849310;47:29.3;Mangler 6;0;418641;NOR;12.0;2849310;47:29.3;8:19.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Maria;Flak;0;f;Steinkjer Skiklubb;NO;Serie;K17;00:00:00.000;Mål;12.0;OK;43;0;4;4088915;;12.0;8267250;2:17:47.2;Mangler 3;0;418641;NOR;;;;;;;;;;;;;;;;;;;;;;;;;8.0;1476500;24:36.5;3:27.8;4.0;2590540;43:10.5;8:03.0;0.0;2659100;44:19.1;9:19.4;0.0;1541110;25:41.1;6:44.0;;;;;;;;;;;;
44;Alise Nekstad;Grave;0;f;Fyresdal Skiskyttarlag;NO;Serie;K17;00:00:00.000;Mål;10.0;OK;44;0;6;694404;;10.0;12070750;3:21:10.7;Mangler 1;0;418641;NOR;;;;;;;;;7.0;1958400;32:38.4;6:03.1;;;;;0.0;1513600;25:13.6;5:44.3;;;;;0.0;1614300;26:54.3;5:45.6;0.0;2852170;47:32.1;12:24.6;0.0;2746000;45:46.0;10:46.3;3.0;1386280;23:06.2;4:09.1;;;;;;;;;;;;
45;Ane Hagset;Stavnesli;0;f;Molde og Omegn IF;NO;Serie;K17;00:00:00.000;Mål;7.0;OK;45;0;4;2273930;;7.0;8528320;2:22:08.3;Mangler 3;0;418641;NOR;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1588900;26:28.9;5:20.2;0.0;2696380;44:56.3;9:48.8;0.0;2869400;47:49.4;12:49.7;7.0;1373640;22:53.6;3:56.5;;;;;;;;;;;;
46;Silje Bentzen;Østby;0;f;Steinkjer Skiklubb;NO;Serie;K17;00:00:00.000;Mål;6.0;OK;46;0;5;4080618;Steinkjer vgs;6.0;11631210;3:13:51.2;Mangler 2;0;418641;NOR;0.0;3593120;59:53.1;20:43.3;0.0;1843000;30:43.0;9:58.9;0.0;2033600;33:53.6;7:18.3;;;;;0.0;0;0:00.0;19:29.3;;;;;;;;;;;;;0.0;2783000;46:23.0;11:23.3;6.0;1378490;22:58.4;4:01.3;;;;;;;;;;;;
47;Mathilde;Hongseth;0;f;Try, Idrettslaget;NO;Serie;K17;00:00:00.000;Mål;6.0;OK;47;0;6;691959;;6.0;13321140;3:42:01.1;Mangler 1;0;418641;NOR;0.0;3337830;55:37.8;16:28.0;0.0;1770000;29:30.0;8:45.9;0.0;0;0:00.0;26:35.3;;;;;0.0;1540000;25:40.0;6:10.7;;;;;1.0;1521800;25:21.8;4:13.1;1.0;2630310;43:50.3;8:42.8;4.0;2521200;42:01.2;7:01.5;0.0;1628830;27:08.8;8:11.7;;;;;;;;;;;;
48;Andora Regine;Aas;0;f;Hammerfest Skiklubb;NO;Serie;K17;00:00:00.000;Mål;5.0;OK;48;0;4;4795503;NTG-T;5.0;8289880;2:18:09.8;Mangler 3;0;418641;NOR;5.0;2955780;49:15.7;10:05.9;0.0;1659000;27:39.0;6:54.9;0.0;2175300;36:15.3;9:40.0;;;;;0.0;1499800;24:59.8;5:30.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Mia Sæther;Midtbø;0;f;Fyresdal Skiskyttarlag;NO;Serie;K17;00:00:00.000;Mål;5.0;OK;49;0;6;3750053;Team TeVe;5.0;12236680;3:23:56.6;Mangler 1;0;418641;NOR;4.0;2958330;49:18.3;10:08.5;0.0;1619100;26:59.1;6:15.0;1.0;1999000;33:19.0;6:43.7;;;;;0.0;1527300;25:27.3;5:58.0;;;;;;;;;;;;;0.0;2671000;44:31.0;9:31.3;0.0;1461950;24:21.9;5:24.8;;;;;;;;;;;;
50;Marte;Riddervold;0;f;Asker Skiklubb;NO;Serie;K17;00:00:00.000;Mål;3.0;OK;50;0;7;4707574;;3.0;15467090;4:17:47.0;1:02:40.000;0;418641;NOR;0.0;3235290;53:55.2;14:45.4;0.0;1707500;28:27.5;7:43.4;0.0;2066400;34:26.4;7:51.1;;;;;0.0;1483300;24:43.3;5:14.0;;;;;0.0;1727300;28:47.3;7:38.6;3.0;2605900;43:25.9;8:18.4;0.0;2641400;44:01.4;9:01.7;0.0;1412660;23:32.6;4:35.5;;;;;;;;;;;;
51;Caroline Grotøy;Bjørgum;0;f;Fossum IF;NO;Serie;K17;00:00:00.000;Mål;3.0;OK;50;0;5;4704637;;3.0;10127130;2:48:47.1;Mangler 2;0;418641;NOR;0.0;3389370;56:29.3;17:19.5;0.0;1701300;28:21.3;7:37.2;3.0;1978700;32:58.7;6:23.4;;;;;0.0;1534200;25:34.2;6:04.9;;;;;;;;;;;;;0.0;0;0:00.0;34:59.7;0.0;1523560;25:23.5;6:26.4;;;;;;;;;;;;
52;Tonje;Nordheim;0;f;Oppdal IL;NO;Serie;K17;00:00:00.000;Mål;2.0;OK;52;0;7;726400;;2.0;16543400;4:35:43.4;1:20:36.310;0;418641;NOR;0.0;3394520;56:34.5;17:24.7;2.0;1584900;26:24.9;5:40.8;0.0;2433100;40:33.1;13:57.8;;;;;0.0;1628300;27:08.3;7:39.0;;;;;0.0;1620300;27:00.3;5:51.6;0.0;2868880;47:48.8;12:41.3;0.0;3013400;50:13.4;15:13.7;0.0;1509760;25:09.7;6:12.6;;;;;;;;;;;;
53;Ulrik Olsen;Brimi;0;m;Byåsen Skiskytterlag;NO;Serie;M17;00:00:00.000;Mål;279.0;OK;1;0;7;718872;Trondheim Biathlon Team;279.0;12670710;3:31:10.7;0:00.000;0;418642;NOR;32.0;2685110;44:45.1;2:45.0;12.0;1628000;27:08.0;3:02.3;45.0;1847700;30:47.7;0:13.2;;;;;45.0;1285200;21:25.2;1:05.0;;;;;22.0;1200400;20:00.4;1:09.7;15.0;2276720;37:56.7;3:11.3;40.0;2434500;40:34.5;0:17.0;45.0;1312920;21:52.9;0:18.9;;;;;50.0;1904880;31:44.8;0:00.0;;;;
54;Trym Silsand;Gerhardsen;0;m;Tromsø Skiskytterlag;NO;Serie;M17;00:00:00.000;Mål;271.0;OK;2;0;7;2270133;NTG-T;271.0;13596850;3:46:36.8;15:26.140;0;418642;NOR;26.0;2711760;45:11.7;3:11.6;26.0;1555300;25:55.3;1:49.6;29.0;1920400;32:00.4;1:25.9;;;;;16.0;1364900;22:44.9;2:24.7;;;;;50.0;1130700;18:50.7;0:00.0;45.0;2119130;35:19.1;0:33.7;36.0;2464400;41:04.4;0:46.9;40.0;1329900;22:09.9;0:35.9;;;;;45.0;1920560;32:00.5;0:15.7;;;;
55;Raimond Haugom;Strømvall;0;m;Østre Toten Skilag;NO;Serie;M17;00:00:00.000;Mål;241.0;OK;3;0;7;3803901;NTG-L;241.0;13234930;3:40:34.9;9:24.220;0;418642;NOR;22.0;2759580;45:59.5;3:59.4;20.0;1583300;26:23.3;2:17.6;32.0;1911500;31:51.5;1:17.0;;;;;32.0;1305900;21:45.9;1:25.7;;;;;40.0;1156200;19:16.2;0:25.5;50.0;2085450;34:45.4;0:00.0;45.0;2433000;40:33.0;0:15.5;19.0;1405740;23:25.7;1:51.7;;;;;14.0;2064370;34:24.3;2:39.5;;;;
56;Tobias;Ottersen;0;m;Ullensaker Skiklubb;NO;Serie;M17;00:00:00.000;Mål;230.0;OK;4;0;7;694505;NTG-L;230.0;12617920;3:30:17.9;0:52.790;0;418642;NOR;50.0;2520160;42:00.1;0:00.0;40.0;1488600;24:48.6;0:42.9;40.0;1847900;30:47.9;0:13.4;;;;;36.0;1299200;21:39.2;1:19.0;;;;;21.0;1204100;20:04.1;1:13.4;22.0;2230550;37:10.5;2:25.1;14.0;2635200;43:55.2;3:37.7;20.0;1403880;23:23.8;1:49.8;;;;;21.0;2027410;33:47.4;2:02.6;;;;
57;Morten;Hol;0;m;Målselvs Skiskyttere;NO;Serie;M17;00:00:00.000;Mål;194.0;OK;5;0;7;694482;NTG-L;194.0;13924800;3:52:04.8;20:54.090;0;418642;NOR;36.0;2661540;44:21.5;2:21.4;0.0;1759000;29:19.0;5:13.3;36.0;1881600;31:21.6;0:47.1;;;;;13.0;1373900;22:53.9;2:33.7;;;;;29.0;1169000;19:29.0;0:38.3;40.0;2136510;35:36.5;0:51.1;15.0;2628600;43:48.6;3:31.1;22.0;1391120;23:11.1;1:37.1;;;;;16.0;2056430;34:16.4;2:31.6;;;;
58;Morten Tørnblad;Sameien;0;m;Fet Skiklubb;NO;Serie;M17;00:00:00.000;Mål;187.0;OK;6;0;7;694496;;187.0;14223490;3:57:03.4;25:52.780;0;418642;NOR;29.0;2707830;45:07.8;3:07.7;24.0;1559700;25:59.7;1:54.0;26.0;1932400;32:12.4;1:37.9;;;;;22.0;1335500;22:15.5;1:55.3;;;;;18.0;1209700;20:09.7;1:19.0;32.0;2165460;36:05.4;1:20.0;32.0;2510000;41:50.0;1:32.5;11.0;1435050;23:55.0;2:21.0;;;;;22.0;2012600;33:32.6;1:47.8;;;;
59;Olav Markus Tveit;Aakre;0;m;Sannidal Idrettslag;NO;Serie;M17;00:00:00.000;Mål;178.0;OK;7;0;7;4186169;NTG-G;178.0;11629300;3:13:49.3;17:21.410;0;418642;NOR;7.0;2938460;48:58.4;6:58.3;29.0;1537500;25:37.5;1:31.8;17.0;1992900;33:12.9;2:38.4;;;;;20.0;1337800;22:17.8;1:57.6;;;;;24.0;1199800;19:59.8;1:09.1;26.0;2217960;36:57.9;2:12.5;17.0;2601200;43:21.2;3:03.7;36.0;1355230;22:35.2;1:01.2;;;;;26.0;1988110;33:08.1;1:23.3;;;;
60;Martin;Nevland;0;m;Figgjo IL;NO;Serie;M17;00:00:00.000;Mål;176.0;OK;8;0;4;373086;Team iSandnes;176.0;7178720;1:59:38.7;Mangler 3;0;418642;NOR;40.0;2591720;43:11.7;1:11.6;36.0;1532300;25:32.3;1:26.6;50.0;1834500;30:34.5;0:00.0;;;;;50.0;1220200;20:20.2;0:00.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Peder Fekjan;Solheim;0;m;Svene IL;NO;Serie;M17;00:00:00.000;Mål;176.0;OK;9;0;7;3808954;;176.0;12620760;3:30:20.7;0:49.950;0;418642;NOR;;;;;;;;;9.0;2015900;33:35.9;3:01.4;;;;;11.0;1383600;23:03.6;2:43.4;;;;;36.0;1159100;19:19.1;0:28.4;20.0;2259830;37:39.8;2:54.4;50.0;2417500;40:17.5;0:00.0;18.0;1408890;23:28.8;1:54.8;;;;;32.0;1975940;32:55.9;1:11.1;;;;
62;Sondre;Gjesbakk;0;m;Bossmo & Ytteren IL;NO;Serie;M17;00:00:00.000;Mål;174.0;OK;10;0;7;694521;NTG-G;174.0;14163810;3:56:03.8;24:53.100;0;418642;NOR;19.0;2788120;46:28.1;4:28.0;0.0;1874500;31:14.5;7:08.8;22.0;1957400;32:37.4;2:02.9;;;;;1.0;1442300;24:02.3;3:42.1;;;;;26.0;1199300;19:59.3;1:08.6;29.0;2192310;36:32.3;1:46.9;4.0;2729600;45:29.6;5:12.1;50.0;1294020;21:34.0;0:00.0;;;;;24.0;2003060;33:23.0;1:38.2;;;;
63;Aksel Emil;Aasbø;0;m;Try, Idrettslaget;NO;Serie;M17;00:00:00.000;Mål;165.0;OK;11;0;7;4319626;;165.0;13827000;3:50:27.0;19:16.290;0;418642;NOR;1.0;2971320;49:31.3;7:31.2;50.0;1445700;24:05.7;0:00.0;20.0;1979900;32:59.9;2:25.4;;;;;26.0;1319600;21:59.6;1:39.4;;;;;;;;;;;;;0.0;2775000;46:15.0;5:57.5;32.0;1364830;22:44.8;1:10.8;;;;;36.0;1970650;32:50.6;1:05.8;;;;
64;Einar;Hedegart;0;m;Inderøy IL;NO;Serie;M17;00:00:00.000;Mål;160.0;OK;12;0;7;3687444;Steinkjer vgs;160.0;13807300;3:50:07.3;18:56.590;0;418642;NOR;13.0;2872420;47:52.4;5:52.3;18.0;1592100;26:32.1;2:26.4;0.0;2165900;36:05.9;5:31.4;;;;;24.0;1333700;22:13.7;1:53.5;;;;;45.0;1150600;19:10.6;0:19.9;36.0;2153580;35:53.5;1:08.1;24.0;2539000;42:19.0;2:01.5;0.0;1541490;25:41.4;4:07.4;;;;;0.0;2139950;35:39.9;3:55.1;;;;
65;Martin;Uldal;0;m;Birkenes IL;NO;Serie;M17;00:00:00.000;Mål;150.0;OK;13;0;7;694490;;150.0;12797910;3:33:17.9;2:07.200;0;418642;NOR;3.0;2954610;49:14.6;7:14.5;0.0;1698000;28:18.0;4:12.3;16.0;1993800;33:13.8;2:39.3;;;;;29.0;1308000;21:48.0;1:27.8;;;;;32.0;1165000;19:25.0;0:34.3;11.0;2311150;38:31.1;3:45.7;26.0;2532400;42:12.4;1:54.9;26.0;1368630;22:48.6;1:14.6;;;;;10.0;2118930;35:18.9;3:34.1;;;;
66;Gaute Kvittum;Nytrøen;0;m;Tynset IF;NO;Serie;M17;00:00:00.000;Mål;140.0;OK;14;0;7;943992;Team Toyota Slettum Bil;140.0;12243950;3:24:03.9;7:06.760;0;418642;NOR;5.0;2948030;49:08.0;7:07.9;32.0;1536000;25:36.0;1:30.3;15.0;1995500;33:15.5;2:41.0;;;;;40.0;1289600;21:29.6;1:09.4;;;;;13.0;1261600;21:01.6;2:10.9;0.0;2399430;39:59.4;5:14.0;12.0;2659700;44:19.7;4:02.2;15.0;1422850;23:42.8;2:08.8;;;;;13.0;2078700;34:38.7;2:53.9;;;;
67;Eirik;Idland;0;m;Figgjo IL;NO;Serie;M17;00:00:00.000;Mål;127.0;OK;15;0;4;617188;Team iSandnes;127.0;8404150;2:20:04.1;Mangler 3;0;418642;NOR;21.0;2760640;46:00.6;4:00.5;45.0;1460500;24:20.5;0:14.8;;;;;;;;;;;;;;;;;;;;;21.0;2243600;37:23.6;2:38.2;;;;;;;;;;;;;40.0;1939410;32:19.4;0:34.6;;;;
68;Vegard;Steinbakken;0;m;Hattfjelldal IL;NO;Serie;M17;00:00:00.000;Mål;126.0;OK;16;0;7;694487;Meråker vgs;126.0;14359030;3:59:19.0;28:08.320;0;418642;NOR;14.0;2846040;47:26.0;5:25.9;1.0;1688900;28:08.9;4:03.2;21.0;1970000;32:50.0;2:15.5;;;;;5.0;1426200;23:46.2;3:26.0;;;;;10.0;1264100;21:04.1;2:13.4;13.0;2292560;38:12.5;3:27.1;18.0;2597300;43:17.3;2:59.8;21.0;1401780;23:21.7;1:47.7;;;;;29.0;1987250;33:07.2;1:22.4;;;;
69;Even;Uhlin-Engstu;0;m;Heddal Idrettslag;NO;Serie;M17;00:00:00.000;Mål;118.0;OK;17;0;7;694542;Team TeVe;118.0;13386380;3:43:06.3;11:55.670;0;418642;NOR;45.0;2564960;42:44.9;0:44.8;0.0;1787000;29:47.0;5:41.3;13.0;1998200;33:18.2;2:43.7;;;;;21.0;1336700;22:16.7;1:56.5;;;;;8.0;1268300;21:08.3;2:17.6;2.0;2380550;39:40.5;4:55.1;20.0;2587500;43:07.5;2:50.0;4.0;1473980;24:33.9;2:59.9;;;;;7.0;2156740;35:56.7;4:11.9;;;;
70;Sigurd;Holemark;0;m;Hønefoss Skiskytterklubb;NO;Serie;M17;00:00:00.000;Mål;116.0;OK;18;0;7;4213497;NTG-G;116.0;12529850;3:28:49.8;2:20.860;0;418642;NOR;6.0;2939750;48:59.7;6:59.6;14.0;1623500;27:03.5;2:57.8;11.0;2000100;33:20.1;2:45.6;;;;;18.0;1356500;22:36.5;2:16.3;;;;;14.0;1256000;20:56.0;2:05.3;17.0;2267060;37:47.0;3:01.6;13.0;2658700;44:18.7;4:01.2;29.0;1367990;22:47.9;1:13.9;;;;;4.0;2209090;36:49.0;5:04.2;;;;
71;Mads Huken;Mathiesen;0;m;Ullensaker Skiklubb;NO;Serie;M17;00:00:00.000;Mål;106.0;OK;19;0;7;2124123;NTG-L;106.0;14433920;4:00:33.9;29:23.210;0;418642;NOR;24.0;2732600;45:32.6;3:32.5;0.0;1753000;29:13.0;5:07.3;19.0;1992500;33:12.5;2:38.0;;;;;10.0;1396300;23:16.3;2:56.1;;;;;20.0;1208000;20:08.0;1:17.3;6.0;2361290;39:21.2;4:35.8;10.0;2688600;44:48.6;4:31.1;0.0;1519950;25:19.9;3:45.9;;;;;17.0;2054630;34:14.6;2:29.8;;;;
72;Åsmund;Løvoll;0;m;Asker Skiklubb;NO;Serie;M17;00:00:00.000;Mål;102.0;OK;20;0;7;694499;;102.0;14926640;4:08:46.6;37:35.930;0;418642;NOR;15.0;2845470;47:25.4;5:25.3;0.0;1692000;28:12.0;4:06.3;24.0;1954900;32:34.9;2:00.4;;;;;14.0;1371600;22:51.6;2:31.4;;;;;0.0;1304400;21:44.4;2:53.7;24.0;2229630;37:09.6;2:24.2;22.0;2570300;42:50.3;2:32.8;0.0;1544630;25:44.6;4:10.6;;;;;3.0;2262740;37:42.7;5:57.9;;;;
73;Håkon;Halseth;0;m;Rennebu IL;NO;Serie;M17;00:00:00.000;Mål;101.0;OK;21;0;7;383005;;101.0;13041570;3:37:21.5;6:10.860;0;418642;NOR;;;;;;;;;1.0;2126400;35:26.4;4:51.9;;;;;7.0;1422600;23:42.6;3:22.4;;;;;9.0;1267300;21:07.3;2:16.6;16.0;2270820;37:50.8;3:05.4;29.0;2514000;41:54.0;1:36.5;24.0;1381840;23:01.8;1:27.8;;;;;15.0;2058610;34:18.6;2:33.8;;;;
74;Kasper Dagsland;Gulbrandsen;0;m;Bø Skiskyttarlag;NO;Serie;M17;00:00:00.000;Mål;100.0;OK;22;0;7;4451011;Sirdal Ski;100.0;14411010;4:00:11.0;29:00.300;0;418642;NOR;20.0;2771820;46:11.8;4:11.7;3.0;1670900;27:50.9;3:45.2;4.0;2080700;34:40.7;4:06.2;;;;;12.0;1376500;22:56.5;2:36.3;;;;;17.0;1217000;20:17.0;1:26.3;14.0;2291100;38:11.1;3:25.7;21.0;2578100;42:58.1;2:40.6;0.0;0;0:00.0;21:34.0;;;;;12.0;2095790;34:55.7;3:10.9;;;;
75;Martin;Aaland;0;m;Hardbagg IL;NO;Serie;M17;00:00:00.000;Mål;83.0;OK;23;0;7;941370;;83.0;13139940;3:38:59.9;7:49.230;0;418642;NOR;;;;;;;;;8.0;2057100;34:17.1;3:42.6;;;;;3.0;1436500;23:56.5;3:36.3;;;;;16.0;1230500;20:30.5;1:39.8;18.0;2262740;37:42.7;2:57.3;11.0;2665400;44:25.4;4:07.9;7.0;1452220;24:12.2;2:38.2;;;;;20.0;2035480;33:55.4;2:10.6;;;;
76;Oskar;Kjos;0;m;Ullensaker Skiklubb;NO;Serie;M17;00:00:00.000;Mål;83.0;OK;24;0;7;2273748;NTG-G;83.0;13555130;3:45:55.1;14:44.420;0;418642;NOR;17.0;2825480;47:05.4;5:05.3;16.0;1606700;26:46.7;2:41.0;7.0;2057300;34:17.3;3:42.8;;;;;0.0;1479400;24:39.4;4:19.2;;;;;6.0;1276900;21:16.9;2:26.2;19.0;2262720;37:42.7;2:57.3;;;;;;;;;;;;;18.0;2046630;34:06.6;2:21.8;;;;
77;Christoffer;Eidissen;0;m;Fossum IF;NO;Serie;M17;00:00:00.000;Mål;78.0;OK;25;0;7;1934063;Wang Toppidrett;78.0;14205130;3:56:45.1;25:34.420;0;418642;NOR;18.0;2818430;46:58.4;4:58.3;0.0;1693300;28:13.3;4:07.6;18.0;1992700;33:12.7;2:38.2;;;;;15.0;1366300;22:46.3;2:26.1;;;;;0.0;1327200;22:07.2;3:16.5;0.0;2442440;40:42.4;5:57.0;5.0;2722800;45:22.8;5:05.3;17.0;1413220;23:33.2;1:59.2;;;;;5.0;2198380;36:38.3;4:53.5;;;;
78;Sivert Raddum;Skaug;0;m;Tretten Skiskytterlag;NO;Serie;M17;00:00:00.000;Mål;64.0;OK;26;0;7;348443;Stryn vgs;64.0;13473750;3:44:33.7;13:23.040;0;418642;NOR;12.0;2886720;48:06.7;6:06.6;6.0;1657900;27:37.9;3:32.2;0.0;2170200;36:10.2;5:35.7;;;;;1.0;1442300;24:02.3;3:42.1;;;;;13.0;1261600;21:01.6;2:10.9;0.0;2427850;40:27.8;5:42.4;16.0;2622100;43:42.1;3:24.6;8.0;1448660;24:08.6;2:34.6;;;;;8.0;2154470;35:54.4;4:09.6;;;;
79;Anders Melaaen;Døssland;0;m;Lier IL;NO;Serie;M17;00:00:00.000;Mål;62.0;OK;27;0;7;691994;Wang Toppidrett;62.0;12653560;3:30:53.5;0:17.150;0;418642;NOR;;;;;0.0;1739600;28:59.6;4:53.9;0.0;2154600;35:54.6;5:20.1;;;;;19.0;1341300;22:21.3;2:01.1;;;;;0.0;1308600;21:48.6;2:57.9;0.0;2410420;40:10.4;5:25.0;19.0;2595900;43:15.9;2:58.4;5.0;1472680;24:32.6;2:58.6;;;;;19.0;2040880;34:00.8;2:16.0;;;;
80;Nikolai;Aslaksen;0;m;Bossmo & Ytteren IL;NO;Serie;M17;00:00:00.000;Mål;60.0;OK;28;0;7;694551;;60.0;14641860;4:04:01.8;32:51.150;0;418642;NOR;11.0;2895810;48:15.8;6:15.7;24.0;1559700;25:59.7;1:54.0;;;;;;;;;;;;;;;;;4.0;1280900;21:20.9;2:30.2;12.0;2309480;38:29.4;3:44.0;0.0;2911800;48:31.8;8:14.3;0.0;1535620;25:35.6;4:01.6;;;;;9.0;2148550;35:48.5;4:03.7;;;;
81;Jonas;Linset;0;m;Skatval Skilag;NO;Serie;M17;00:00:00.000;Mål;59.0;OK;29;0;7;388014;Meråker vgs;59.0;13679180;3:47:59.1;16:48.470;0;418642;NOR;16.0;2844700;47:24.7;5:24.6;17.0;1595300;26:35.3;2:29.6;12.0;1998700;33:18.7;2:44.2;;;;;0.0;1462900;24:22.9;4:02.7;;;;;0.0;1291600;21:31.6;2:40.9;3.0;2370620;39:30.6;4:45.2;;;;;;;;;;;;;11.0;2115360;35:15.3;3:30.5;;;;
82;Even;Martinsson;0;m;Åsnes Skiskytterlag;NO;Serie;M17;00:00:00.000;Mål;49.0;OK;30;0;7;4571315;;49.0;13718410;3:48:38.4;17:27.700;0;418642;NOR;0.0;3004220;50:04.2;8:04.1;21.0;1575100;26:15.1;2:09.4;;;;;;;;;0.0;1490900;24:50.9;4:30.7;;;;;7.0;1276400;21:16.4;2:25.7;0.0;2396410;39:56.4;5:11.0;1.0;2752900;45:52.9;5:35.4;14.0;1426350;23:46.3;2:12.3;;;;;6.0;2192540;36:32.5;4:47.7;;;;
83;Marius;Møller;0;m;Steinkjer Skiklubb;NO;Serie;M17;00:00:00.000;Mål;38.0;OK;31;0;7;4011081;Steinkjer vgs;38.0;13784700;3:49:44.7;18:33.990;0;418642;NOR;0.0;2992120;49:52.1;7:52.0;19.0;1590100;26:30.1;2:24.4;0.0;2309000;38:29.0;7:54.5;;;;;0.0;1456900;24:16.9;3:56.7;;;;;0.0;1299800;21:39.8;2:49.1;0.0;2531430;42:11.4;7:26.0;7.0;2702000;45:02.0;4:44.5;12.0;1434780;23:54.7;2:20.7;;;;;;;;;;;;
84;Sander Brevik;Lillemoen;0;m;Simostranda IL;NO;Serie;M17;00:00:00.000;Mål;34.0;OK;32;0;7;3595989;Meråker vgs;34.0;15178600;4:12:58.6;41:47.890;0;418642;NOR;9.0;2914510;48:34.5;6:34.4;11.0;1634400;27:14.4;3:08.7;14.0;1996900;33:16.9;2:42.4;;;;;0.0;1455200;24:15.2;3:55.0;;;;;0.0;1387800;23:07.8;4:17.1;0.0;2666990;44:26.9;9:41.5;0.0;3122800;52:02.8;11:45.3;0.0;1567330;26:07.3;4:33.3;;;;;;;;;;;;
